Назва,місто/район,Фінансовий результат (сальдо),Підприємства. які одержали прибуток,,Підприємства. які одержали збиток,
,,,у % до загальної кількості підприємств,фінансовий результат,у % до загальної кількості підприємств,фінансовий результат
м.Одеса,місто,12857270.8,72,16923648,28,4066377.2
м.Балта,місто,77226,72.1,79122.2,27.9,1896.2
м.Білгород-Дністровський,місто,–238510.9,70.6,198905.8,29.4,437416.7
М.Біляївка,місто,26256.4,76.7,39290.3,23.3,13033.9
м.Ізмаїл,місто,–129885.9,70.2,147404.5,29.8,277290.4
м.Чорноморськ,місто,3671315.1,69.2,4427793.9,30.8,756478.8
м.Подільськ,місто,4906.5,80,26162.8,20,21256.3
м.Теплодар,місто,–6641.4,48.6,8267.2,51.4,14908.6
м.Южне,місто,25470,71.5,195832.2,28.5,170362.2
Ананьївський,район,41990,87.3,51888.5,12.7,9898.5
Арцизький,район,274717.4,79.8,333437,20.2,58719.6
Балтський,район,136922.8,90,152989.2,10,16066.4
Білгород-Дністровський,район,227287.7,70.5,446660.4,29.5,219372.7
Біляївський,район,241976,71.1,337799.4,28.9,95823.4
Березівський,район,72196,89.1,117786,10.9,45590
Болградський,район,164101.1,82.1,308915,17.9,144813.9
Великомихайлівський,район,35777.1,85.4,75274.7,14.6,39497.6
Іванівський,район,52736.1,71.6,85837.3,28.4,33101.2
Ізмаїльський,район,8707.3,89.4,48749.5,10.6,40042.2
Кілійський,район,–92272.6,68.2,28832.9,31.8,121105.5
Кодимський,район,75792.9,85.1,86772.3,14.9,10979.4
Лиманський,район,4640187.7,73.1,4829313.6,26.9,189125.9
Подільський,район,146644.1,82.5,157553.2,17.5,10909.1
Окнянський,район,211468.7,82.9,235246.6,17.1,23777.9
Любашівський,район,45653.7,87.6,94061.4,12.4,48407.7
Миколаївський,район,64214.4,89.8,67270.4,10.2,3056
Овідіопольський,район,371551.9,75.1,557444.8,24.9,185892.9
Роздільнянський,район,48262.3,77.5,113411.2,22.5,65148.9
Ренійський,район,763205.7,64.5,833001,35.5,69795.3
Савранський,район,15829.8,82.6,43407.8,17.4,27578
Саратський,район,–97943.3,76.1,117592.6,23.9,215535.9
Тарутинський,район,–88615.8,69.4,90093.7,30.6,178709.5
Татарбунарський,район,–35931.2,69,56825.6,31,92756.8
Захарівський,район,11060.4,80,16609.4,20,5549
Ширяївський,район,5770.8,89.7,67655.8,10.3,61885